slug,culture_name,region,status,confidence,eligible_for_linkedin,canonical_source_asset,alternates,git_path,live_url,has_approved_overview,notes
afar,Afar,Horn of Africa,ready,high,True,/cultural_images/afar_card.webp,/cultural_images/afar_card.webp,website-astro/public/cultural_images/afar_card.webp,https://www.culturesherpa.org/explore/cultural_images/afar_card.webp,True,
afemai,Afemai,"Northern Edo State, Nigeria",ready,high,True,/cultural_images/afemai_card.webp,/cultural_images/afemai_card.webp,website-astro/public/cultural_images/afemai_card.webp,https://www.culturesherpa.org/explore/cultural_images/afemai_card.webp,True,
afghan,Afghan,Central and South Asia,ready,high,True,/cultural_images/afghan_card.webp,/cultural_images/afghan_card.webp,website-astro/public/cultural_images/afghan_card.webp,https://www.culturesherpa.org/explore/cultural_images/afghan_card.webp,True,
afghan_diaspora,Afghan Diaspora,Global,probable-match,medium,False,/cultural_images/afghan_diaspora_card.webp,/cultural_images/afghan_diaspora_card.webp,,https://www.culturesherpa.org/explore/cultural_images/afghan_diaspora_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
afghan_tatars,Afghan Tatars,Afghanistan,ready,high,True,/cultural_images/afghan_tatars_card.webp,/cultural_images/afghan_tatars_card.webp,website-astro/public/cultural_images/afghan_tatars_card.webp,https://www.culturesherpa.org/explore/cultural_images/afghan_tatars_card.webp,True,
african_american,African American,United States,ready,high,True,/cultural_images/african_american_card.webp,/cultural_images/african_american_card.webp,website-astro/public/cultural_images/african_american_card.webp,https://www.culturesherpa.org/explore/cultural_images/african_american_card.webp,True,
afro_brazilian,Afro Brazilian,South America,probable-match,medium,False,/cultural_images/afro_brazilian_card.webp,/cultural_images/afro_brazilian_card.webp,,https://www.culturesherpa.org/explore/cultural_images/afro_brazilian_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
afro_caribbean,Afro Caribbean,Caribbean,probable-match,medium,False,/cultural_images/afro_caribbean_card.webp,/cultural_images/afro_caribbean_card.webp,,https://www.culturesherpa.org/explore/cultural_images/afro_caribbean_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
afro_latino,Afro Latino,South America,probable-match,medium,False,/cultural_images/afro_latino_card.webp,/cultural_images/afro_latino_card.webp,,https://www.culturesherpa.org/explore/cultural_images/afro_latino_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
ainu,Ainu,"Hokkaido, Japan",probable-match,medium,False,/cultural_images/ainu_card.webp,/cultural_images/ainu_card.webp,,https://www.culturesherpa.org/explore/cultural_images/ainu_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
akan,Akan,West Africa,ready,high,True,/cultural_images/akan_card.webp,/cultural_images/akan_card.webp,website-astro/public/cultural_images/akan_card.webp,https://www.culturesherpa.org/explore/cultural_images/akan_card.webp,True,
alavi_bohras,Alavi Bohras,"Gujarat, India",ready,high,True,/cultural_images/alavi_bohras_card.webp,/cultural_images/alavi_bohras_card.webp,website-astro/public/cultural_images/alavi_bohras_card.webp,https://www.culturesherpa.org/explore/cultural_images/alavi_bohras_card.webp,True,
albanians,Albanians,Southeast Europe,ready,high,True,/cultural_images/albanians_card.webp,/cultural_images/albanians_card.webp,website-astro/public/cultural_images/albanians_card.webp,https://www.culturesherpa.org/explore/cultural_images/albanians_card.webp,True,
aleut,Aleut,North America,probable-match,medium,False,/cultural_images/aleut_card.webp,/cultural_images/aleut_card.webp,,https://www.culturesherpa.org/explore/cultural_images/aleut_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
algerian,Algerian,North Africa,ready,high,True,/cultural_images/algerian_card.webp,/cultural_images/algerian_card.webp,website-astro/public/cultural_images/algerian_card.webp,https://www.culturesherpa.org/explore/cultural_images/algerian_card.webp,True,
alune,Alune,"Central Seram, Maluku, Indonesia",probable-match,medium,False,/cultural_images/alune_card.webp,/cultural_images/alune_card.webp,,https://www.culturesherpa.org/explore/cultural_images/alune_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
american,American,North America,ready,high,True,/cultural_images/american_card.webp,/cultural_images/american_card.webp,website-astro/public/cultural_images/american_card.webp,https://www.culturesherpa.org/explore/cultural_images/american_card.webp,True,
amhara,Amhara,Ethiopia,ready,high,True,/cultural_images/amhara_card.webp,/cultural_images/amhara_card.webp,website-astro/public/cultural_images/amhara_card.webp,https://www.culturesherpa.org/explore/cultural_images/amhara_card.webp,True,
angolan,Angolan,Southern Africa,ready,high,True,/cultural_images/angolan_card.webp,/cultural_images/angolan_card.webp,website-astro/public/cultural_images/angolan_card.webp,https://www.culturesherpa.org/explore/cultural_images/angolan_card.webp,True,
antarctica,Antarctica,Antarctica,ready,high,True,/cultural_images/antarctica_card.webp,/cultural_images/antarctica_card.webp,website-astro/public/cultural_images/antarctica_card.webp,https://www.culturesherpa.org/explore/cultural_images/antarctica_card.webp,True,
apatani,Apatani,"Ziro Valley, Arunachal Pradesh, India",probable-match,medium,False,/cultural_images/apatani_card.webp,/cultural_images/apatani_card.webp,,https://www.culturesherpa.org/explore/cultural_images/apatani_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
arab,Arab,Middle East and North Africa,ready,high,True,/cultural_images/arab_card.webp,/cultural_images/arab_card.webp,website-astro/public/cultural_images/arab_card.webp,https://www.culturesherpa.org/explore/cultural_images/arab_card.webp,True,
aragonese,Aragonese,"Aragon, Spain",ready,high,True,/cultural_images/aragonese_card.webp,/cultural_images/aragonese_card.webp,website-astro/public/cultural_images/aragonese_card.webp,https://www.culturesherpa.org/explore/cultural_images/aragonese_card.webp,True,
arapaho,Arapaho,North America,ready,high,True,/cultural_images/arapaho_card.webp,/cultural_images/arapaho_card.webp,website-astro/public/cultural_images/arapaho_card.webp,https://www.culturesherpa.org/explore/cultural_images/arapaho_card.webp,True,
argentinian,Argentinian,South America,ready,high,True,/cultural_images/argentinian_card.webp,/cultural_images/argentinian_card.webp,website-astro/public/cultural_images/argentinian_card.webp,https://www.culturesherpa.org/explore/cultural_images/argentinian_card.webp,True,
argobba,Argobba,Northeastern Ethiopia,ready,high,True,/cultural_images/argobba_card.webp,/cultural_images/argobba_card.webp,website-astro/public/cultural_images/argobba_card.webp,https://www.culturesherpa.org/explore/cultural_images/argobba_card.webp,True,
armenia,Armenia,South Caucasus,ready,high,True,/cultural_images/armenia_card.webp,/cultural_images/armenia_card.webp,website-astro/public/cultural_images/armenia_card.webp,https://www.culturesherpa.org/explore/cultural_images/armenia_card.webp,True,
armenian_diaspora,Armenian Diaspora,Middle East,probable-match,medium,False,/cultural_images/armenian_diaspora_card.webp,/cultural_images/armenian_diaspora_card.webp,,https://www.culturesherpa.org/explore/cultural_images/armenian_diaspora_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
aromanian,Aromanian,Balkans,probable-match,medium,False,/cultural_images/aromanian_card.webp,/cultural_images/aromanian_card.webp,,https://www.culturesherpa.org/explore/cultural_images/aromanian_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
asmat,Asmat,"Papua, Indonesia",probable-match,medium,False,/cultural_images/asmat_card.webp,/cultural_images/asmat_card.webp,,https://www.culturesherpa.org/explore/cultural_images/asmat_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
assiniboine,Assiniboine,"Northern Great Plains, USA and Canada",ready,high,True,/cultural_images/assiniboine_card.webp,/cultural_images/assiniboine_card.webp,website-astro/public/cultural_images/assiniboine_card.webp,https://www.culturesherpa.org/explore/cultural_images/assiniboine_card.webp,True,
assyrian,Assyrian,Middle East,probable-match,medium,False,/cultural_images/assyrian_card.webp,/cultural_images/assyrian_card.webp,,https://www.culturesherpa.org/explore/cultural_images/assyrian_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
assyrian_diaspora,Assyrian Diaspora,Europe,probable-match,medium,False,/cultural_images/assyrian_diaspora_card.webp,/cultural_images/assyrian_diaspora_card.webp,,https://www.culturesherpa.org/explore/cultural_images/assyrian_diaspora_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
assyrians,Assyrians,Middle East,ready,high,True,/cultural_images/assyrians_card.webp,/cultural_images/assyrians_card.webp,website-astro/public/cultural_images/assyrians_card.webp,https://www.culturesherpa.org/explore/cultural_images/assyrians_card.webp,True,
asturians,Asturians,"Asturias, Spain",ready,high,True,/cultural_images/asturians_card.webp,/cultural_images/asturians_card.webp,website-astro/public/cultural_images/asturians_card.webp,https://www.culturesherpa.org/explore/cultural_images/asturians_card.webp,True,
australian,Australian,Oceania,ready,high,True,/cultural_images/australian_card.webp,/cultural_images/australian_card.webp,website-astro/public/cultural_images/australian_card.webp,https://www.culturesherpa.org/explore/cultural_images/australian_card.webp,True,
austrian,Austrian,Central Europe,ready,high,True,/cultural_images/austrian_card.webp,/cultural_images/austrian_card.webp,website-astro/public/cultural_images/austrian_card.webp,https://www.culturesherpa.org/explore/cultural_images/austrian_card.webp,True,
